Debut: 198
Fin: 425
0 -> 79
0 -> 200
0 -> 327
370 <- 0
0 -> 435
1 -> 71
88 <- 1
218 <- 1
322 <- 1
330 <- 1
364 <- 1
377 <- 1
497 <- 1
95 <- 2
2 -> 169
2 -> 424
474 <- 2
259 <- 3
3 -> 265
301 <- 3
3 -> 383
3 -> 392
3 -> 429
3 -> 461
472 <- 3
485 <- 3
162 <- 4
4 -> 295
21 <- 5
5 -> 117
5 -> 198
5 -> 328
5 -> 486
6 -> 11
56 <- 6
197 <- 6
249 <- 6
6 -> 252
264 <- 6
6 -> 401
411 <- 6
7 -> 71
127 <- 7
7 -> 358
433 <- 7
8 -> 38
8 -> 208
8 -> 216
271 <- 8
8 -> 321
351 <- 8
396 <- 8
8 -> 474
115 <- 9
9 -> 188
219 <- 9
9 -> 246
270 <- 9
9 -> 309
4 <- 10
115 <- 10
10 -> 212
247 <- 10
254 <- 10
380 <- 10
10 -> 469
117 <- 11
11 -> 129
269 <- 11
11 -> 277
12 -> 70
92 <- 12
96 <- 12
12 -> 102
12 -> 140
298 <- 12
12 -> 307
12 -> 321
12 -> 384
103 <- 13
13 -> 236
13 -> 280
13 -> 311
325 <- 13
13 -> 483
84 <- 14
14 -> 106
14 -> 114
214 <- 14
222 <- 14
258 <- 14
295 <- 14
331 <- 14
356 <- 14
382 <- 14
448 <- 14
490 <- 14
111 <- 15
144 <- 15
15 -> 149
15 -> 161
253 <- 15
280 <- 15
15 -> 475
16 -> 100
16 -> 105
158 <- 16
211 <- 16
291 <- 16
297 <- 16
16 -> 321
16 -> 464
468 <- 16
51 <- 17
17 -> 77
155 <- 17
366 <- 17
17 -> 479
216 <- 18
18 -> 218
18 -> 261
18 -> 357
18 -> 375
18 -> 492
101 <- 19
128 <- 19
142 <- 19
19 -> 180
283 <- 19
19 -> 344
19 -> 360
476 <- 19
131 <- 20
20 -> 198
20 -> 238
263 <- 20
20 -> 300
320 <- 20
20 -> 328
332 <- 20
407 <- 20
20 -> 426
20 -> 466
5 <- 21
21 -> 27
32 <- 21
21 -> 180
21 -> 247
21 -> 270
379 <- 21
21 -> 394
21 -> 441
21 -> 466
21 -> 478
22 -> 78
107 <- 22
159 <- 22
213 <- 22
22 -> 253
316 <- 22
337 <- 22
22 -> 371
459 <- 22
461 <- 22
23 -> 92
23 -> 103
159 <- 23
305 <- 23
466 <- 23
24 -> 103
403 <- 24
25 -> 146
315 <- 25
25 -> 459
26 -> 7
26 -> 47
26 -> 254
26 -> 440
27 -> 65
27 -> 239
306 <- 27
355 <- 27
380 <- 27
27 -> 404
412 <- 27
160 <- 28
28 -> 164
198 <- 28
295 <- 28
357 <- 28
28 -> 362
28 -> 398
28 -> 481
10 <- 29
29 -> 93
29 -> 332
340 <- 29
381 <- 29
30 -> 48
272 <- 30
318 <- 30
344 <- 30
413 <- 30
459 <- 30
31 -> 100
31 -> 304
32 -> 45
32 -> 56
32 -> 57
101 <- 32
32 -> 122
32 -> 163
195 <- 32
32 -> 200
32 -> 241
32 -> 302
32 -> 334
455 <- 32
32 -> 462
3 <- 33
95 <- 33
126 <- 33
33 -> 239
33 -> 248
33 -> 252
279 <- 33
33 -> 289
342 <- 33
33 -> 475
34 -> 352
403 <- 34
426 <- 34
461 <- 34
483 <- 34
141 <- 35
181 <- 35
35 -> 261
386 <- 35
35 -> 439
35 -> 468
366 <- 36
36 -> 398
58 <- 37
61 <- 37
37 -> 334
37 -> 391
465 <- 37
21 <- 38
38 -> 59
38 -> 191
272 <- 38
307 <- 38
38 -> 333
38 -> 410
39 -> 6
39 -> 62
101 <- 39
39 -> 117
159 <- 39
180 <- 39
294 <- 39
39 -> 380
391 <- 39
