Debut: 60
Fin: 40
18 <- 0
0 -> 97
11 <- 1
1 -> 26
35 <- 1
1 -> 57
66 <- 1
7 <- 2
24 <- 2
2 -> 31
3 -> 0
59 <- 3
67 <- 3
4 -> 7
4 -> 37
4 -> 48
57 <- 4
85 <- 4
4 -> 87
5 -> 18
21 <- 5
5 -> 48
22 <- 6
53 <- 6
83 <- 6
84 <- 6
7 -> 14
7 -> 63
8 -> 12
8 -> 21
27 <- 8
8 -> 37
8 -> 61
9 -> 6
20 <- 9
10 -> 52
53 <- 10
54 <- 10
10 -> 80
10 -> 89
11 -> 29
11 -> 48
57 <- 11
63 <- 11
12 -> 31
57 <- 12
58 <- 12
12 -> 59
75 <- 12
89 <- 12
13 -> 6
77 <- 13
79 <- 13
13 -> 98
14 -> 64
14 -> 79
94 <- 14
14 -> 97
14 -> 98
30 <- 15
55 <- 15
25 <- 16
16 -> 84
16 -> 85
19 <- 17
17 -> 23
17 -> 42
46 <- 17
67 <- 17
18 -> 2
66 <- 18
12 <- 19
35 <- 19
19 -> 61
19 -> 65
68 <- 19
19 -> 78
22 <- 20
32 <- 20
82 <- 20
21 -> 5
37 <- 21
21 -> 47
57 <- 21
72 <- 21
22 -> 50
89 <- 22
23 -> 11
23 -> 50
29 <- 24
62 <- 24
25 -> 10
25 -> 37
25 -> 40
21 <- 26
26 -> 22
26 -> 39
26 -> 42
26 -> 43
14 <- 27
25 <- 27
27 -> 39
27 -> 66
27 -> 92
19 <- 28
22 <- 28
28 -> 54
28 -> 63
71 <- 28
29 -> 18
24 <- 29
29 -> 31
66 <- 29
29 -> 90
11 <- 30
24 <- 30
50 <- 30
30 -> 56
30 -> 81
31 -> 7
31 -> 12
31 -> 40
31 -> 99
24 <- 32
43 <- 32
49 <- 32
32 -> 73
32 -> 85
0 <- 33
45 <- 33
59 <- 33
33 -> 78
8 <- 34
34 -> 64
34 -> 75
4 <- 35
7 <- 35
35 -> 19
55 <- 35
36 -> 46
36 -> 64
72 <- 36
36 -> 96
37 -> 77
37 -> 80
83 <- 37
7 <- 38
38 -> 17
39 -> 22
39 -> 26
58 <- 39
40 -> 0
15 <- 40
40 -> 42
40 -> 48
41 -> 72
80 <- 41
42 -> 1
57 <- 42
42 -> 60
42 -> 87
43 -> 40
43 -> 72
44 -> 65
8 <- 45
64 <- 45
7 <- 46
46 -> 11
60 <- 46
46 -> 84
11 <- 47
40 <- 47
47 -> 41
47 -> 59
85 <- 47
8 <- 48
72 <- 48
49 -> 58
49 -> 67
71 <- 49
22 <- 50
28 <- 50
50 -> 37
50 -> 66
51 -> 25
40 <- 51
51 -> 67
51 -> 78
97 <- 51
52 -> 43
47 <- 52
52 -> 74
53 -> 6
52 <- 53
53 -> 81
82 <- 53
54 -> 1
54 -> 10
54 -> 36
75 <- 54
54 -> 79
4 <- 55
34 <- 55
56 -> 20
52 <- 56
56 -> 58
91 <- 56
11 <- 57
57 -> 69
78 <- 57
57 -> 99
39 <- 58
58 -> 94
59 -> 3
33 <- 59
42 <- 59
46 <- 59
56 <- 59
76 <- 59
60 -> 2
7 <- 60
32 <- 60
60 -> 42
95 <- 60
61 -> 13
61 -> 14
19 <- 61
59 <- 61
64 <- 61
62 -> 46
62 -> 47
51 <- 62
22 <- 63
54 <- 63
65 <- 63
74 <- 63
63 -> 98
1 <- 64
14 <- 64
64 -> 57
65 <- 64
64 -> 75
64 -> 96
8 <- 65
65 -> 33
58 <- 65
37 <- 66
49 <- 66
66 -> 91
92 <- 66
67 -> 0
67 -> 3
20 <- 67
67 -> 33
68 -> 18
61 <- 68
69 <- 68
68 -> 74
69 -> 18
23 <- 69
86 <- 69
22 <- 70
47 <- 70
50 <- 70
11 <- 71
19 <- 71
71 -> 64
4 <- 72
21 <- 72
72 -> 28
72 -> 76
23 <- 73
32 <- 73
17 <- 74
74 -> 23
74 -> 26
74 -> 59
63 <- 74
74 -> 81
5 <- 75
75 -> 34
54 <- 75
75 -> 64
85 <- 75
76 -> 7
54 <- 76
73 <- 76
76 -> 89
13 <- 77
77 -> 93
97 <- 77
78 -> 19
51 <- 78
57 <- 78
59 <- 78
78 -> 60
79 -> 14
39 <- 79
79 -> 66
86 <- 79
80 -> 38
80 -> 45
80 -> 55
80 -> 59
98 <- 80
31 <- 81
81 -> 50
81 -> 58
81 -> 74
81 -> 94
10 <- 82
82 -> 18
22 <- 82
23 <- 82
83 -> 3
10 <- 83
83 -> 55
2 <- 84
6 <- 84
84 -> 7
45 <- 84
84 -> 46
84 -> 64
76 <- 84
85 -> 65
96 <- 85
86 -> 0
49 <- 86
86 -> 68
87 -> 4
35 <- 87
36 <- 88
49 <- 88
88 -> 57
71 <- 88
89 -> 10
64 <- 89
29 <- 90
38 <- 90
58 <- 90
64 <- 90
74 <- 90
30 <- 91
33 <- 91
91 -> 73
91 -> 92
4 <- 92
12 <- 92
92 -> 14
92 -> 27
69 <- 92
92 -> 71
93 -> 2
95 <- 93
34 <- 94
94 -> 58
59 <- 94
94 -> 74
95 -> 3
95 -> 18
39 <- 95
54 <- 95
60 <- 95
22 <- 96
96 -> 36
64 <- 96
97 -> 48
51 <- 97
97 -> 77
98 -> 13
60 <- 98
63 <- 98
98 -> 84
1 <- 99
99 -> 76
