Debut: 0
Fin: 99
12 <- 0
0 -> 43
83 <- 0
1 -> 62
5 <- 2
8 <- 2
2 -> 24
2 -> 56
2 -> 64
71 <- 2
98 <- 2
27 <- 3
30 <- 3
51 <- 3
83 <- 3
85 <- 3
66 <- 4
70 <- 4
2 <- 5
5 -> 44
6 -> 40
89 <- 6
4 <- 7
7 -> 10
59 <- 7
77 <- 7
78 <- 7
87 <- 7
2 <- 8
52 <- 8
55 <- 8
61 <- 8
65 <- 8
86 <- 8
9 -> 14
9 -> 30
40 <- 9
69 <- 9
9 -> 77
10 -> 53
6 <- 11
11 -> 27
49 <- 11
14 <- 12
32 <- 12
57 <- 12
13 -> 45
13 -> 50
69 <- 13
15 <- 14
14 -> 26
17 <- 15
15 -> 62
15 -> 86
94 <- 15
16 -> 29
32 <- 16
16 -> 60
7 <- 17
17 -> 97
18 -> 15
35 <- 18
51 <- 18
18 -> 53
18 -> 78
18 -> 97
19 -> 9
19 -> 36
19 -> 96
85 <- 21
88 <- 21
8 <- 22
14 <- 22
22 -> 56
22 -> 89
53 <- 24
24 -> 90
25 -> 34
25 -> 66
25 -> 74
9 <- 26
26 -> 71
39 <- 27
44 <- 27
28 -> 19
28 -> 36
80 <- 28
29 -> 16
29 -> 36
30 -> 24
30 -> 64
30 -> 66
30 -> 69
84 <- 30
34 <- 31
71 <- 31
92 <- 31
97 <- 31
27 <- 32
32 -> 47
32 -> 61
71 <- 32
54 <- 33
72 <- 33
58 <- 34
82 <- 34
34 -> 86
35 -> 1
20 <- 35
35 -> 81
39 <- 36
36 -> 63
10 <- 37
45 <- 37
59 <- 38
79 <- 38
39 -> 2
31 <- 39
39 -> 61
73 <- 39
80 <- 39
33 <- 40
41 -> 43
42 -> 7
20 <- 42
43 -> 2
43 -> 11
43 -> 95
37 <- 44
82 <- 44
45 -> 9
45 -> 11
83 <- 45
46 -> 26
46 -> 45
49 <- 47
47 -> 80
47 -> 83
16 <- 48
48 -> 22
28 <- 48
79 <- 48
48 -> 81
31 <- 49
49 -> 45
49 -> 54
56 <- 49
82 <- 49
50 -> 36
39 <- 50
53 <- 50
51 -> 4
51 -> 33
54 <- 51
51 -> 67
52 -> 16
64 <- 52
94 <- 52
20 <- 53
53 -> 25
53 -> 61
53 -> 98
90 <- 54
34 <- 55
55 -> 35
55 -> 52
63 <- 55
54 <- 56
4 <- 57
57 -> 63
58 -> 3
58 -> 21
69 <- 58
74 <- 58
86 <- 58
35 <- 59
60 -> 43
48 <- 60
28 <- 61
61 -> 64
61 -> 66
62 -> 26
30 <- 62
62 -> 43
49 <- 62
64 <- 62
62 -> 78
37 <- 63
63 -> 44
52 <- 63
69 <- 63
63 -> 74
29 <- 64
33 <- 64
64 -> 51
64 -> 85
99 <- 64
17 <- 65
65 -> 18
21 <- 65
46 <- 65
65 -> 79
87 <- 65
88 <- 65
95 <- 65
66 -> 30
48 <- 66
67 -> 35
67 -> 90
91 <- 67
92 <- 67
94 <- 68
69 -> 21
72 <- 69
1 <- 70
12 <- 70
38 <- 70
70 -> 79
70 -> 95
6 <- 71
72 -> 1
35 <- 72
72 -> 51
68 <- 72
14 <- 73
73 -> 38
73 -> 94
73 -> 95
74 -> 9
16 <- 74
23 <- 74
74 -> 37
75 -> 10
75 -> 61
75 -> 70
73 <- 75
2 <- 76
76 -> 32
73 <- 76
23 <- 77
77 -> 25
53 <- 77
77 -> 70
78 -> 26
60 <- 78
29 <- 79
79 -> 31
41 <- 79
65 <- 79
68 <- 79
71 <- 79
80 -> 59
80 -> 63
81 -> 46
80 <- 81
82 -> 6
82 -> 12
14 <- 82
18 <- 82
82 -> 31
52 <- 82
59 <- 82
70 <- 82
75 <- 82
82 -> 76
83 -> 13
37 <- 83
83 -> 41
79 <- 83
84 -> 34
84 -> 49
4 <- 85
10 <- 85
86 <- 85
93 <- 85
86 -> 83
70 <- 87
8 <- 88
66 <- 88
25 <- 89
90 -> 37
90 -> 80
26 <- 91
91 -> 42
57 <- 92
93 -> 22
93 -> 38
82 <- 93
94 -> 31
32 <- 94
44 <- 94
94 -> 47
62 <- 94
94 <- 94
38 <- 95
66 <- 95
3 <- 96
96 -> 4
18 <- 96
29 <- 96
96 -> 45
79 <- 96
97 -> 7
97 -> 34
49 <- 97
97 -> 67
98 -> 10
49 <- 98
98 -> 97
3 <- 99
99 -> 27
99 -> 36
47 <- 99
99 -> 48
